"Title","Author","Price","Sales Rank","Genre/Theme","Published Month","Published Year","Mean_Polarity","Mean_Subjectivity"
"This Is Baby","Jimmy Fallon",16.99,67459,"Juvenile Fiction","Oct",2019,0.0490909090909091,0.269214594928881
"Mount Analogue","Rene Daumal",15.95,67460,"Literary Criticism","Sep",2019,0,0
"The Book Hog","Greg Pizzoli",16.99,67465,"Juvenile Fiction","Mar",2019,0.21875,0.233333333333333
"How to See","David Salle",16.95,67474,"Art","Jan",2018,0.212880291005291,0.505696806500378
"The Master","Colm Toibin",17,67505,"Fiction","May",2005,0,0
"Age of Consent","Amanda Brainerd",26,67532,"Fiction","Jul",2020,0.203999969607112,0.529413633985063
"Library Babies","Puck",7.95,67537,"Juvenile Fiction","Mar",2020,0.250520833333333,0.597916666666667
"King Mouse","Cary Fagan",17.99,67541,"Juvenile Fiction","Sep",2019,0.189529780564263,0.293202716823406
"DK Readers L3","Wil Mara",4.99,67555,"Juvenile Nonfiction","Jan",2018,0,0
"You Are My Mother","P D Eastman",8.99,67608,"Juvenile Nonfiction","Mar",2020,0,0
"Kind of Coping","Maureen Marzi Wilson",14.99,67624,"Self-Help","Jan",2019,0.142140151515152,0.408333333333333
"The Mythology Book","Dk",25,67632,"History","May",2018,0,0
"Soccer Stars","Jean-Michel Billioud",14.99,67634,"Juvenile Nonfiction","May",2018,0,0
"Fish Girl","David Wiesner",17.99,67640,"Juvenile Fiction","Mar",2017,0.0214285714285714,0.0611111111111111
"On the Natural History of Destruction","W G Sebald",17,67668,"Biography & Autobiography","Feb",2004,0.23209595959596,0.45175505050505
"Pinocchio (Disney Classic)","Steffi Fletcher",4.99,67671,"Juvenile Fiction","Nov",2002,0,0
"Big Love Cooking","Joey Campanaro",29.95,67738,"Cooking","Sep",2020,0,0
"Six Days in August","David King",26.95,67825,"Psychology","Aug",2020,0.107395382395382,0.431340326340326
"Little Green Donkey","Anuska Allepuz",16.99,67878,"Juvenile Fiction","Jul",2020,0.127599206349206,0.465165343915344
"A Short Move","Katherine Hill",16.95,67886,"Fiction","Jul",2020,0,0
"The Lehman Trilogy","Stefano Massini",35,67939,"Fiction","Jun",2020,0.16215367965368,0.513051948051948
"Out East","John Glynn",16.99,67982,"Biography & Autobiography","May",2020,0.144261522790935,0.368862198077884
"The Postman","Yu Bi",9.99,67990,"Fiction","May",2020,0,0
"A Little Called Pauline","Gertrude Stein",16.95,67998,"Juvenile Fiction","Apr",2020,0,0
"Creative Notes","Ted Vadakan",14.95,68020,"Design","Apr",2020,0,0
"Flche","Mary Jean Chan",14.95,68032,"Poetry","Apr",2020,0,0
"Dewdrop","Katie O'Neill",16.99,68047,"Juvenile Fiction","Apr",2020,0.196875,0.359375
"Memories of the Future","Siri Hustvedt",17,68070,"Fiction","Mar",2020,0.117091072961171,0.384375419991229
"Free Thinker","Kimberley A Hamlin",28.95,68088,"History","Mar",2020,0.155682456432456,0.557992063492064
"Bodies and Barriers","Adrian Shanker",20,68138,"Health & Fitness","Mar",2020,0.120792904413594,0.245610538886401
"The Dharma of Fashion","Otto von Busch",14.99,68139,"Self-Help","Feb",2020,0,0
"Ducks!","Deborah Underwood",17.99,68167,"Juvenile Fiction","Feb",2020,0,0
"The Scientist and the Spy","Mara Hvistendahl",28,68181,"Business & Economics","Feb",2020,0.172600446428571,0.513880208333333
"The Inhabited Island","Arkady Strugatsky",19.99,68189,"Fiction","Feb",2020,-0.0583333333333333,0.2875
"The President's Room","Ricardo Romero",13.95,68220,"Fiction","Jan",2020,0.216666666666667,0.363333333333333
"Art and Fiesta in Mexico City","Cristina Alonso",24.99,68221,"Travel","Jan",2020,0,0
"Franchise","Marcia Chatelain",28.95,68252,"Business & Economics","Jan",2020,0.156241801128165,0.421381099960645
"And Then We Grew Up","Rachel Friedman",17,68260,"Biography & Autobiography","Dec",2019,0.26606542181901,0.514888736994
"The Cartiers","Francesca Cartier Brickell",35,68297,"History","Nov",2019,0.185530483405483,0.293300685425685
"These Savage Shores Tpb Vol. 1","Ram V",16.99,68318,"Comics & Graphic Novels","Nov",2019,0,0
"The Book of Eating","Adam Platt",27.99,68324,"Travel","Nov",2019,0.236856060606061,0.503131313131313
"Those Who Knew","Idra Novey",17,68339,"Fiction","Nov",2019,0.101771710157127,0.457647718793552
"The Mysterious Affair at Olivetti","Meryle Secrest",30,68343,"True Crime","Nov",2019,0.252272727272727,0.5662177328844
"Can I Kick It?","Idris Goodwin",16,68358,"Music","Oct",2019,0.101662658329325,0.375077761744428
"Older Brother","Mahir Guven",17,68366,"Fiction","Oct",2019,0.332873737373737,0.548616161616162
"Mindf*ck","Christopher Wylie",28,68379,"Biography & Autobiography","Oct",2019,0.0314870931537598,0.43255460882445
