"Title","Author","Price","Sales Rank","Genre/Theme","Published Month","Published Year","Mean_Polarity","Mean_Subjectivity"
"Golden Compass","Philip Pullman",12.99,3444,"Juvenile Fiction","Sep",2002,0.334297699214366,0.630300384800385
"Thesaurus Has a Secret","Anya Glazer",17.99,3445,"Juvenile Fiction","Oct",2020,0.258333333333333,0.325
"The Vanderbeekers and the Hidden Garden","Karina Yan Glaser",7.99,3446,"Juvenile Fiction","Sep",2019,0.264714222975093,0.525642763034067
"Hilo Book 4","Judd Winick",13.99,3449,"Juvenile Fiction","Jan",2018,0.155124777183601,0.484337492572787
"The Atlas Obscura Explorer's Guide for the World's Most Adventurous Kid","Dylan Thuras",19.95,3454,"Juvenile Nonfiction","Sep",2018,0.163177447552448,0.436713286713287
"My Father's Dragon","Ruth Stiles Gannett",6.99,3456,"Juvenile Fiction","Dec",2005,0,0
"The Times I Knew I Was Gay","Eleanor Crewes",25,3457,"Comics & Graphic Novels","Oct",2020,0.29342787999038,0.607675715488216
"Big Ideas for Little Philosophers","Duane Armitage",8.99,3460,"Juvenile Nonfiction","Jul",2020,0,0
"Space Case","Stuart Gibbs",8.99,3462,"Juvenile Fiction","Oct",2015,0.154598639455782,0.527510204081633
"The Round House","Louise Erdrich",16.99,3464,"Fiction","Sep",2013,0.128133979116122,0.560464570482428
"Magician's Nephew","C S Lewis",9.99,3465,"Juvenile Fiction","Oct",2000,0,0
"Backpack Explorer","Editors of Storey Publishing",12.95,3466,"Juvenile Nonfiction","May",2020,0,0
"For White Folks Who Teach in the Hood... and the Rest of Y'all Too","Christopher Emdin",16,3467,"Education","Jan",2017,0.202051282051282,0.459017094017094
"Prairie Lotus","Linda Sue Park",16.99,3469,"Juvenile Fiction","Mar",2020,0.0999427103830513,0.413223687087323
"Who Was Ida B. Wells?","Sarah Fabiny",5.99,3472,"Juvenile Nonfiction","Jun",2020,0,0
"Winter Dance (board book)","Marion Dane Bauer",8.99,3473,"Juvenile Fiction","Oct",2018,0.206018518518519,0.331038868538869
"Prodigy","Marie Lu",11.99,3475,"Young Adult Fiction","Apr",2014,0.114216777146465,0.391655750210438
"A Blade So Black","L L McKinney",10.99,3476,"Young Adult Fiction","Sep",2019,0.127484517797018,0.440675354737855
"Captain Underpants #9","Dav Pilkey",12.99,3478,"Juvenile Fiction","Dec",2019,0.0958333333333333,0.233333333333333
"The Girl and the Goddess","Nikita Gill",15,3481,"Poetry","Sep",2020,0.298333333333333,0.510416666666667
"One Time","Sharon Creech",16.99,3482,"Juvenile Fiction","Sep",2020,0.157072679924242,0.442232593795094
"Full Throttle","Joe Hill",18.99,3487,"Fiction","Sep",2020,0.0999326229326229,0.573668775668776
"Straight from the Horse's Mouth","Meryem Alaoui",16.99,3489,"Literary Collections","Sep",2020,0.175090621826733,0.509733913206135
"A Room Called Earth","Madeleine Ryan",17,3492,"Fiction","Aug",2020,0.302148802843247,0.489197998503554
"An Unkindness of Ghosts","Rivers Solomon",15.95,3493,"Fiction","Oct",2017,0.0860964448676913,0.262781341651738
"How to Walk","Thich Nhat Hanh",9.95,3498,"Self-Help","Apr",2015,0.1875,0.525
"Classic Krakauer","Jon Krakauer",15,3499,"Travel","Oct",2019,0.238636363636364,0.398787878787879
"Eva and the Lost Pony","Rebecca Elliott",4.99,3504,"Juvenile Fiction","Feb",2018,0.304143475572047,0.521361574933004
"Where's the T. Rex?","Crow Nosy",8.99,3506,"Juvenile Nonfiction","Sep",2020,0,0
"The Adventures of Tom Sawyer","Mark Twain",5.99,3509,"Juvenile Fiction","Mar",2008,0,0
"The Invention of Wings","Sue Monk Kidd",17,3512,"Fiction","May",2015,0.149343711843712,0.299847374847375
"The Death and Life of Great American Cities","Jane Jacobs",17.95,3513,"Social Science","Dec",1992,0.339318181818182,0.478560606060606
"Big Nate","Lincoln Peirce",9.99,3515,"Juvenile Nonfiction","Sep",2019,0.130766293891294,0.307731782106782
"That Is My Dream!","Langston Hughes",17.99,3521,"Juvenile Nonfiction","Oct",2017,0.0454545454545454,0.151515151515152
"String Theory","David Foster Wallace",19.95,3525,"Biography & Autobiography","May",2016,0.206902356902357,0.522946127946128
"A Mind Spread Out on the Ground","Alicia Elliott",17.99,3526,"Social Science","Aug",2020,0.197670887541577,0.415582554418761
"Raybearer","Jordan Ifueko",18.99,3527,"Young Adult Fiction","Aug",2020,0.206024504498769,0.425495342076224
"The Deepest South of All","Richard Grant",26,3531,"Biography & Autobiography","Sep",2020,0.0967019209474423,0.37462699685935
"The Deep","Rivers Solomon",14.99,3532,"Fiction","Aug",2020,0.0234722222222222,0.281944444444444
"Mr. Lemoncello and the Titanium Ticket","Chris Grabenstein",16.99,3534,"Juvenile Fiction","Aug",2020,0.0581709956709957,0.393506493506494
"The Scarecrow","Beth Ferry",18.99,3538,"Juvenile Fiction","Sep",2019,0.463333333333333,0.603333333333333
"Catherine House","Elisabeth Thomas",27.99,3540,"Fiction","May",2020,0.0746348826611984,0.50323156375788
"The Kid's Awesome Activity Book","Mike Lowery",14.95,3542,"Juvenile Nonfiction","Jun",2018,0.186458333333333,0.463541666666667
"How to Read a Book","Kwame Alexander",17.99,3543,"Juvenile Fiction","Jun",2019,0.266388888888889,0.477123015873016
"The Last Book on the Left","Ben Kissel",26,3544,"True Crime","Apr",2020,0.185714285714286,0.588095238095238
"Five Days","Wes Moore",28,3550,"Political Science","Jun",2020,0.0511666666666667,0.344111111111111
"Love Warrior","Glennon Doyle",17.99,3556,"Social Science","Sep",2017,0.180561807521867,0.550281397322817
"Moleskine Classic Notebook, Large, Plain, Black, Hard Cover (5 x 8.25)","Moleskine",19.95,3560,"Stationery","Jan",2008,0,0
"Vengeful","V E Schwab",18.99,3562,"Fiction","Jan",2020,0.00474489795918365,0.546845238095238
"Everyone Poops","Taro Gomi",16.99,3565,"Juvenile Fiction","Sep",2020,0,0
"The Big Door Prize","M O Walsh",27,3570,"Fiction","Sep",2020,0.172558892158611,0.400964929525323
"Nathalie Lete","Nathalie Lete",19.95,3571,"Art","Oct",2020,0,0
"Olympians","George O'Connor",10.99,3575,"Juvenile Fiction","Jan",2018,0.128651384254187,0.350043486195337
"Crown","Derrick Barnes",18.95,3576,"Juvenile Fiction","Oct",2017,0.288300393282681,0.444004483389605
"A Field Guide to Getting Lost","Rebecca Solnit",18,3579,"Travel","Jun",2006,0.14107535982536,0.281798988048988
"Treaties, Trenches, Mud, and Blood (Nathan Hale's Hazardous Tales #4)","Nathan Hale",13.99,3580,"Juvenile Nonfiction","May",2014,0.0861111111111111,0.375
"Pete the Cat Doll","MerryMakers Inc",18,3585,"Juvenile Nonfiction","Jan",2015,0,0
"Mighty Jack and the Goblin King","Ben Hatke",14.99,3588,"Juvenile Fiction","Sep",2017,0.260166666666667,0.455833333333333
"The Tiger's Wife","Tea Obreht",17,3591,"Fiction","Nov",2011,0.236451268638769,0.578876638407888
"The Kite Runner","Khaled Hosseini",16,3592,"Fiction","Mar",2013,0.114874594898749,0.387300011671992
"Females","Andrea Long Chu",12.95,3594,"Social Science","Oct",2019,0.109641383359871,0.458965304847658
"Henry and Mudge","Cynthia Rylant",4.99,3595,"Juvenile Fiction","Jun",1996,0.241558441558442,0.539285714285714
"In Cold Blood","Truman Capote",16,3596,"Social Science","Nov",2005,0.255113636363636,0.360795454545455
"Grumpy Monkey's Little Book of Grumpiness","Suzanne Lang",8.99,3598,"Juvenile Fiction","Sep",2020,0,0
"Harbor Me","Jacqueline Woodson",8.99,3603,"Juvenile Fiction","Apr",2020,0.221426024955437,0.373776419658773
"Blood in the Water","Heather Ann Thompson",18.95,3606,"Political Science","Aug",2017,0.160979205318491,0.51323397237683
"Life After Life","Kate Atkinson",18,3607,"Fiction","Jan",2014,0.247144474299647,0.574425287356322
"To Shake the Sleeping Self","Jedidiah Jenkins",17,3612,"Sports & Recreation","Dec",2019,0.202358815426997,0.459848484848485
"I'm a Reindeer","Mallory Loehr",4.99,3613,"Juvenile Nonfiction","Sep",2020,0,0
"Ricky Ricotta's Mighty Robot vs. the Mutant Mosquitoes from Mercury (Ricky Ricotta's Mighty Robot #2)","Dav Pilkey",5.99,3614,"Juvenile Fiction","Apr",2014,0.13030303030303,0.419621212121212
"The 57 Bus","Dashka Slater",17.99,3616,"Young Adult Nonfiction","Oct",2017,-0.0075468830937581,0.312729090932216
"The Little Engine That Could","Watty Piper",8.99,3621,"Fiction","May",2015,0.16344696969697,0.346212121212121
"Primer","Jennifer Muro",9.99,3622,"Juvenile Fiction","Jun",2020,0,0
"Lupe Wong Won't Dance","Donna Barba Higuera",17.99,3626,"Juvenile Fiction","Sep",2020,0.325,0.625
"Indestructibles","Kate Merritt",5.95,3629,"Family & Relationships","Aug",2014,0.127777777777778,0.162103174603175
"Nurture","Erica Chidi",22.95,3630,"Health & Fitness","Oct",2017,0.21817674512987,0.522159090909091
"Seven Brief Lessons on Physics","Carlo Rovelli",18,3631,"Science","Mar",2016,0.178511394983617,0.437762734179401
"Kudos","Rachel Cusk",17,3634,"Fiction","Apr",2019,0.174540138224349,0.471749575960102
"Roll of Thunder, Hear My Cry","Mildred D Taylor",8.99,3635,"Juvenile Fiction","Nov",2001,0.133004329004329,0.386316017316017
"Press Here (Interactive Book for Toddlers and Kids, Interactive Baby Book)","Herve Tullet",15.99,3637,"Juvenile Fiction","Jan",2011,0.225599408313694,0.479543624329339
"The Magician's Elephant","Kate DiCamillo",7.99,3639,"Juvenile Fiction","Dec",2015,0.186349764124764,0.59581181041181
"Mean","Myriam Gurba",16.95,3640,"Biography & Autobiography","Nov",2017,0.0618115753433024,0.572603767142174
"The Midwinter Witch","Molly Knox Ostertag",12.99,3641,"Juvenile Fiction","Nov",2019,0.134042809042809,0.240945165945166
"Mastering Bread","Marc Vetri",32.5,3646,"Cooking","Oct",2020,0,0
"The Room Where It Happened","John Bolton",32.5,3648,"Biography & Autobiography","Jun",2020,-0.0175473484848485,0.250935921717172
"The Seven Storey Mountain","Thomas Merton",17.99,3654,"Religion","Oct",1999,0.2,0.4
"The World Doesn't Require You","Rion Amilcar Scott",16.95,3656,"Fiction","Aug",2020,0.205687437242737,0.506987651365532
"The Encyclopedia of New York","The Editors of New York Magazine",35,3662,"Travel","Oct",2020,0.160633253530981,0.346327465674057
"Men Explain Things To Me","Rebecca Solnit",14.95,3665,"Social Science","Sep",2015,0,0
"Be My Guest","Priya Basil",19.95,3675,"Philosophy","Nov",2020,0.255633756478782,0.510414220251593
"Among the Beasts & Briars","Ashley Poston",17.99,3677,"Young Adult Fiction","Oct",2020,0.120707070707071,0.472727272727273
"Walt Disney's Alice in Wonderland (Disney Classic)","Disney RH",4.99,3684,"Juvenile Fiction","Jan",2010,0,0
"The Origins of Totalitarianism","Hannah Arendt",19,3685,"History","Mar",1973,0.196590909090909,0.296969696969697
"Sunny Side Up (Sunny, Book 1)","Jennifer L Holm",12.99,3686,"Juvenile Fiction","Aug",2015,0.3,0.1
"The Cold Vanish","Jon Billman",28,3688,"Nature","Jul",2020,0,0
"Minecraft","C B Lee",17.99,3690,"Juvenile Fiction","Nov",2020,0.0212662337662338,0.0576298701298701
"It Feels Good to Be Yourself","Theresa Thorn",17.99,3693,"Juvenile Nonfiction","Jun",2019,0.335558712121212,0.482528409090909
"The Great Pretender","Susannah Cahalan",16.99,3694,"Science","Jul",2020,0.17118421713614,0.353587214067983
"Likes","Sarah Shun-lien Bynum",26,3695,"Fiction","Sep",2020,0.23626032236963,0.505039992995621
"Ghost Wall","Sarah Moss",16,3699,"Fiction","Dec",2019,0.15515052562527,0.513600567697435
"Happy Hair","Mechal Renee Roe",7.99,3701,"Juvenile Fiction","Oct",2020,0.0333333333333333,0.158333333333333
"Eating Out Loud","Eden Grinshpan",32.5,3703,"Cooking","Sep",2020,0.228442760942761,0.44549978956229
"I Survived the Joplin Tornado, 2011 (I Survived #12)","Lauren Tarshis",5.99,3706,"Juvenile Fiction","Aug",2015,0.118560606060606,0.593668831168831
"Lumberjanes Vol. 12","Shannon Watters",14.99,3707,"Juvenile Fiction","Jul",2019,0,0
"Godshot","Chelsea Bieker",26,3708,"Fiction","Apr",2020,0.20367680565049,0.627398040555935
"Elements of Style","Strunk & White",9.95,3709,"Language Arts & Disciplines","Jul",1999,0.105359848484848,0.331060606060606
"When You Reach Me","Rebecca Stead",7.99,3710,"Juvenile Fiction","Dec",2010,0.181066790352505,0.482042362399505
"Rainbow Fish","Marcus Pfister",18.95,3711,"Juvenile Fiction","Jan",1999,0.1875,0.308333333333333
"Big Nate","Lincoln Peirce",9.99,3717,"Juvenile Fiction","Mar",2019,0.130766293891294,0.307731782106782
"American Gods","Neil Gaiman",19.99,3727,"Fiction","Feb",2013,0.209166666666667,0.567916666666667
"I Survived the Attack of the Grizzlies, 1967 (I Survived #17)","Lauren Tarshis",4.99,3728,"Juvenile Fiction","Sep",2018,0.203186274509804,0.598844537815126
"Zen Shorts","Jon J Muth",17.99,3730,"Juvenile Fiction","Mar",2005,0.435335497835498,0.597348484848485
"Moleskine Classic Notebook, Large, Ruled, Black, Hard Cover (5 x 8.25)","Moleskine",19.95,3735,"Stationery","Jan",2008,0,0
"Transit","Rachel Cusk",17,3737,"Fiction","Dec",2017,0.251976861890214,0.468020915742507
"The Sprawl","Jason Diamond",16.95,3738,"Literary Criticism","Sep",2020,0.157217261904762,0.328422619047619
"Lilac Girls","Martha Hall Kelly",17,3741,"Fiction","Feb",2017,0.172433647701505,0.457956190634762
"Stony the Road","Henry Louis Gates",20,3744,"Social Science","Apr",2020,0.115795797100791,0.361554057824555
"Why Didn't We Riot?","Issac J Bailey",21.99,3750,"Literary Collections","Oct",2020,0.0947270013936681,0.502159352992686
"The Little Old Lady Who Was Not Afraid of Anything","Linda Williams",7.99,3753,"Juvenile Fiction","Jul",2019,0.333333333333333,0.415432098765432
"The Unadoptables","Hana Tooke",17.99,3756,"Juvenile Fiction","Jul",2020,0.75,0.944444444444444
"My Little Golden Book About Dinosaurs","Dennis R Shealy",4.99,3757,"Juvenile Nonfiction","Jun",2017,0,0
"Ordinary People","Diana Evans",16.95,3758,"Fiction","Oct",2020,0,0
"You Think It, I'll Say It","Curtis Sittenfeld",17,3762,"Fiction","Mar",2019,0.324258658008658,0.595834598302131
"Richard Scarry's Busy, Busy World","Richard Scarry",16.99,3768,"Juvenile Fiction","Jul",2015,0,0
"Anatomicum","Jennifer Z Paxton",35,3770,"Juvenile Nonfiction","Sep",2020,0,0
"Bee-Bim Bop!","Linda Sue Park",7.99,3773,"Juvenile Fiction","Nov",2008,0.585714285714286,0.692857142857143
"Fka USA","Reed King",17.99,3774,"Fiction","Aug",2020,0.0952380952380952,0.492389455782313
"It's So Amazing!","Robie H Harris",12.99,3777,"Juvenile Nonfiction","Aug",2014,0.257394008108294,0.498069470212327
"Homesick for Another World","Ottessa Moshfegh",16,3780,"Fiction","Dec",2017,0.179458826055295,0.503469239056981
"Mac B., Kid Spy #3","Mac Barnett",12.99,3784,"Juvenile Fiction","Sep",2019,0.0425343974207611,0.236438642726521
"The Big Book of Blooms","Yuval Zommer",19.95,3786,"Juvenile Nonfiction","May",2020,0.250634920634921,0.363769841269841
"Becoming Duchess Goldblatt","Anonymous",24,3788,"Humor","Jul",2020,0.233083365390518,0.452764123440842
"Self Care","Leigh Stein",16,3789,"Fiction","Jun",2020,0.229253613450042,0.56616736438165
"Oh, The Things We're For!","Innosanto Nagara",17.95,3793,"Juvenile Fiction","Oct",2020,0.0992736892736893,0.219770322270322
"Envelope Poems","Emily Dickinson",14.95,3796,"Art","Oct",2016,0.329242579738269,0.614952915858088
"The Kiss Quotient","Helen Hoang",16,3798,"Fiction","Jun",2018,0.252887748452265,0.558857992366057
"Blue Horses","Mary Oliver",16,3804,"Poetry","Oct",2016,0.193181818181818,0.552272727272727
"Mix It Up (Interactive Books for Toddlers, Learning Colors for Toddlers, Preschool and Kindergarten Reading Books)","Herve Tullet",15.99,3806,"Juvenile Fiction","Sep",2014,0.209691358024691,0.482019400352734
"How to Talk So Kids Will Listen & Listen So Kids Will Talk","Adele Faber",18,3807,"Self-Help","Feb",2012,0.360416666666667,0.441071428571429
"Moleskine Classic Notebook, Large, Ruled, Black, Soft Cover (5 x 8.25)","Moleskine",19.95,3808,"Stationery","Feb",2008,0,0
"Unicorns and Germs","Asia Citro",5.99,3810,"Juvenile Fiction","Oct",2018,0.179792024013722,0.304731275014294
"A Constellation of Vital Phenomena","Anthony Marra",17,3811,"Fiction","Feb",2014,0.202014641923733,0.59332721319085
"Fun Home","Alison Bechdel",16.99,3815,"Comics & Graphic Novels","Jun",2007,0.126101127554616,0.231835799859056
"Howl's Moving Castle","Diana Wynne Jones",9.99,3820,"Juvenile Fiction","Apr",2008,0.5,1
"Smoke Gets in Your Eyes","Caitlin Doughty",15.95,3821,"Social Science","Oct",2015,0.133827705627706,0.468603463203463
"Ulysses","James Joyce",17,3825,"Fiction","Jun",1990,0.312215909090909,0.512594696969697
"The Wildwood Bakery","Rebecca Elliott",4.99,3830,"Juvenile Fiction","Oct",2017,0.304143475572047,0.521361574933004
"Sorry for Your Trouble","Richard Ford",27.99,3831,"Fiction","May",2020,0.26717803030303,0.649482323232323
"The Book of Dust","Philip Pullman",22.99,3833,"Young Adult Fiction","Oct",2019,0.213958704693999,0.511815157881334
"The Terrible Two","Mac Barnett",7.99,3834,"Juvenile Fiction","Oct",2017,0,0
"How to Sit","Thich Nhat Hanh",9.95,3835,"Body, Mind & Spirit","Apr",2014,0.0253787878787879,0.302651515151515
"Miracle Creek","Angie Kim",17,3837,"Fiction","Apr",2020,0.26822179880559,0.556772367081433
"The Great Cow Race","Jeff Smith",12.99,3839,"Juvenile Fiction","Aug",2005,0.3175,0.450833333333333
"Hilo Book 5","Judd Winick",13.99,3840,"Juvenile Fiction","Jan",2019,0,0
"Nature Anatomy","Julia Rothman",16.95,3845,"Reference","Jan",2015,0,0
"The Black Jacobins","C L R James",18,3849,"Political Science","Oct",1989,0.191136363636364,0.610454545454545
"Captain Underpants and the Attack of the Talking Toilets","Dav Pilkey",9.99,3850,"Juvenile Fiction","Jan",2014,0.191666666666667,0.466666666666667
"The Future We Choose","Christiana Figueres",23,3851,"Political Science","Feb",2020,0.167591783216783,0.52079933954934
"Be Boy Buzz","Bell Hooks",7.99,3852,"Juvenile Fiction","Dec",2016,0.127083333333333,0.2828125
"The Boatman's Daughter","Andy Davidson",16,3860,"Fiction","Feb",2020,0.16497096706247,0.458806651167762
"The Silver Swamp","Katrina Charman",5.99,3870,"Juvenile Fiction","Jun",2020,0.212424242424242,0.501414141414141
"Crazy Brave","Joy Harjo",15.95,3878,"Biography & Autobiography","Jul",2013,0.159008451865595,0.539967704253419
"Unicorn Crossing","Dana Simpson",9.99,3880,"Juvenile Fiction","Mar",2017,0,0
"Difficult Women","Roxane Gay",16,3884,"Fiction","Nov",2017,0.137569069124032,0.533116181386126
"Autonomous","Annalee Newitz",15.99,3885,"Fiction","Sep",2018,0.176735421441304,0.495020955351838
"Jasmine Green Rescues","Helen Peters",6.99,3887,"Juvenile Fiction","Mar",2020,0.127785894660895,0.355494453463203
"The Name Jar","Yangsook Choi",7.99,3889,"Juvenile Fiction","Oct",2003,0,0
"The City in the Middle of the Night","Charlie Jane Anders",18.99,3896,"Fiction","Feb",2020,0.174092504717505,0.54708923021423
"Dinosaur Dance!","Sandra Boynton",5.99,3898,"Juvenile Fiction","Aug",2016,0,0
"The Breakbeat Poets Vol. 4","Felicia Chavez",19.95,3902,"Poetry","Apr",2020,0,0
"Paper Girls, Volume 1","Brian K Vaughan",9.99,3905,"Fiction","Apr",2016,0,0
"Nordic Tales","Chronicle Books",22.95,3908,"Literary Collections","Aug",2019,0.403968253968254,0.844312169312169
"Dr. Seuss's ABC","Dr Seuss",4.99,3909,"Juvenile Fiction","Nov",1996,0,0
"Compromised","Peter Strzok",30,3913,"Biography & Autobiography","Sep",2020,0.126573232323232,0.417179292929293
"Dancing with the Octopus","Debora Harding",27,3920,"Family & Relationships","Sep",2020,0.242722632575758,0.651935511363636
"The Empire of Gold","S A Chakraborty",28.99,3928,"Fiction","Jun",2020,0.209477895841532,0.656670602125148
"Men We Reaped","Jesmyn Ward",17,3929,"Social Science","Sep",2014,0.0553158384565947,0.236199934519262
"Opposite of Always","Justin A Reynolds",11.99,3930,"Young Adult Fiction","Apr",2020,0.262631806067567,0.543606441100643
"Witches, Midwives, & Nurses (Second Edition)","Barbara Ehrenreich",8.95,3936,"Health & Fitness","Jul",2010,0.0209710743801653,0.162706611570248
"The Princess Bride","William Goldman",10.99,3937,"Family & Relationships","Oct",2007,0.0824074074074074,0.412962962962963
"Draw Here","Herve Tullet",14.99,3940,"Juvenile Fiction","Sep",2019,0,0
"Parable of the Sower & Parable of the Talents Boxed Set","Octavia Butler",50,3944,"Fiction","Oct",2019,0.147683306277056,0.422585227272727
"What Is the Women's Rights Movement?","Deborah Hopkinson",5.99,3948,"Juvenile Nonfiction","Oct",2018,0,0
"The Last Samurai","Helen DeWitt",18.95,3953,"Fiction","May",2016,0.200328282828283,0.395909090909091
"Malina","Ingeborg Bachmann",16.95,3956,"Fiction","Jun",2019,0.0882411719825513,0.32304662387421
"Frankly in Love","David Yoon",10.99,3958,"Young Adult Fiction","Sep",2020,0.196026976853502,0.475833622396122
"Klawde","Johnny Marciano",7.99,3964,"Juvenile Fiction","Jul",2020,0,0
"The Good Book of Southern Baking","Kelly Fields",35,3966,"Cooking","Sep",2020,0.194668273645546,0.389695493900039
"Eva Sees a Ghost","Rebecca Elliott",4.99,3967,"Juvenile Fiction","May",2015,0.375480519480519,0.525943722943723
"Soaked!","Abi Cushman",17.99,3971,"Juvenile Fiction","Jul",2020,0.442622767857143,0.571527777777778
"Magic Treehouse #12","Mary Pope Osborne",5.99,3978,"Juvenile Fiction","Jul",1998,0,0
"Strip Tease","Carl Hiaasen",15.95,3980,"Fiction","Aug",2020,0,0
"The Missing of Clairdelune","Christelle Dabos",11.95,3981,"Young Adult Fiction","Aug",2020,0.260594263094263,0.49539858039858
"Asymmetry","Lisa Halliday",16,3982,"Fiction","Oct",2018,0.187352901287425,0.458597142936429
"Authority","Jeff VanderMeer",15,3983,"Fiction","May",2014,0.109780701754386,0.323494152046784
"Big Summer","Jennifer Weiner",28,3984,"Fiction","May",2020,0.18958902230926,0.287284617719142
"The New One","Mike Birbiglia",28,3986,"Humor","Jun",2020,0.188370495245495,0.380827051035384
"The Unexplainable Disappearance of Mars Patel","Sheela Chari",17.99,3990,"Juvenile Fiction","Oct",2020,0.143888888888889,0.536666666666667
"Create Dangerously","Albert Camus",7.95,3996,"Biography & Autobiography","Oct",2019,0,0
"The Swerve","Stephen Greenblatt",16.95,3997,"Philosophy","Sep",2012,0.354561403508772,0.580548245614035
"Animalphabet","Julia Donaldson",20.99,4010,"Juvenile Fiction","Oct",2018,0,0
"The Economists' Hour","Binyamin Appelbaum",18.99,4016,"Business & Economics","Sep",2020,0.157936161970998,0.301188343229327
"Song of the Poison Dragon","Tracey West",4.99,4017,"Juvenile Fiction","Apr",2016,0.23994645705172,0.406859952912584
"My Friend Earth","Patricia MacLachlan",17.99,4022,"Juvenile Fiction","Feb",2020,0,0
"Whose Knees Are These?","Jabari Asim",7.99,4025,"Juvenile Fiction","Mar",2019,0,0
"Smitten Kitchen Every Day","Deb Perelman",35,4030,"Cooking","Oct",2017,0.332009529102831,0.486923276971124
"The Dairy Restaurant","Ben Katchor",29.95,4036,"Travel","Mar",2020,0.0971070075757576,0.397738431652122
"Deaf Republic","Ilya Kaminsky",16,4037,"Language Arts & Disciplines","Mar",2019,0.113037272071363,0.466325704868724
"The Pigeon Wants a Puppy!","Mo Willems",16.99,4040,"Juvenile Fiction","Apr",2008,0.0887138014276172,0.249807894347368
"Cityblock","Christopher Franceschelli",16.95,4043,"Juvenile Fiction","Sep",2016,0.0625,0.258333333333333
"Penguin Problems","Jory John",8.99,4044,"Juvenile Fiction","Sep",2018,0.286666666666667,0.513333333333333
"We're Better Than This","Elijah Cummings",28.99,4047,"Political Science","Sep",2020,0.268253756047874,0.419397759103641
"Sex at Dawn","Christopher Ryan",16.99,4050,"Family & Relationships","Jul",2011,0.217681051587302,0.482161044973545
"Ivy and Bean Make the Rules","Annie Barrows",5.99,4051,"Juvenile Fiction","Aug",2013,0,0
"Utopia for Realists","Rutger Bregman",16.99,4060,"Political Science","Mar",2018,0.178972077467351,0.348161351661877
"Wild Dogs and Canines! (Wild Kratts)","Martin Kratt",4.99,4061,"Juvenile Nonfiction","Jan",2020,0,0
"The Wimpy Kid Do-It-Yourself Book (revised and expanded edition) (Diary of a Wimpy Kid)","Jeff Kinney",14.99,4062,"Juvenile Nonfiction","May",2011,0,0
"It's Perfectly Normal","Robie H Harris",12.99,4067,"Juvenile Nonfiction","Aug",2014,0.227638888888889,0.464305555555556
"A Lesson Before Dying","Ernest J Gaines",14,4069,"Fiction","Sep",1997,0.0566666666666667,0.396666666666667
"Kind of a Big Deal","Shannon Hale",18.99,4073,"Young Adult Fiction","Aug",2020,0.124593073593074,0.405753246753247
"I Survived Hurricane Katrina, 2005 (I Survived #3)","Lauren Tarshis",5.99,4075,"Juvenile Fiction","Mar",2011,0,0
"Noisemakers","Magazine Kazoo",17.99,4083,"Juvenile Nonfiction","Feb",2020,0.38774064171123,0.595082442067736
"Classical Mythology A to Z","Annette Giesecke",30,4091,"Social Science","Oct",2020,0,0
"Meddling Kids","Edgar Cantero",16.95,4096,"Fiction","May",2018,0.21725790513834,0.536180359495577
"Rabbits for Food","Binnie Kirshenbaum",17,4101,"Fiction","Sep",2020,0.179287059781231,0.491212181640009
"The Chiffon Trenches","Andre Leon Talley",28,4102,"Design","May",2020,0.263684830127138,0.381609416224801
"Swimming Lessons","Lili Reinhart",17.99,4105,"Poetry","Sep",2020,0.257363782051282,0.369907852564103
"Almost Everything","Anne Lamott",20,4106,"Self-Help","Oct",2018,0.234147270966467,0.552400664811379
"They Wish They Were Us","Jessica Goodman",17.99,4114,"Young Adult Fiction","Aug",2020,0.100621933621934,0.586520202020202
"Mad and Bad","Bea Koch",17.99,4118,"History","Sep",2020,0.047957702020202,0.272020202020202
"Lolita","Vladimir Nabokov",16,4119,"Fiction","Mar",1989,0.141708101422387,0.612473871366728
"Mr. Penumbra's 24-Hour Bookstore","Robin Sloan",17,4120,"Fiction","Sep",2013,0.278834999175908,0.476148007085507
"Want","Lynn Steger Strong",25.99,4125,"Fiction","Jul",2020,0.209040399113038,0.508114471955271
"My Autobiography of Carson McCullers","Jenn Shapland",22.95,4127,"Biography & Autobiography","Feb",2020,0.257965314913844,0.375144459298871
"I Survived #11","Lauren Tarshis",4.99,4128,"Juvenile Fiction","Feb",2015,0.347916666666667,0.739583333333333
"Magical Negro","Morgan Parker",15.95,4130,"Poetry","Feb",2019,0.0369280784383424,0.376577357149205
"National Geographic Kids World Atlas, 5th Edition","National Geographic Kids",14.99,4133,"Juvenile Nonfiction","Jul",2018,0,0
"Old Man's Cave","Jeff Smith",12.99,4134,"Juvenile Fiction","Aug",2007,0.3175,0.450833333333333
"The New Rules of Cheese","Anne Saxelby",14.99,4136,"Cooking","Oct",2020,0.0689393939393939,0.265909090909091
"Gathering Blue","Lois Lowry",9.99,4137,"Juvenile Fiction","Mar",2013,0.0958333333333333,0.229166666666667
"The Inquisitor's Tale","Adam Gidwitz",9.99,4138,"Juvenile Fiction","Mar",2018,0.149927284483736,0.37489961651252
"Find Fergus","Mike Boldt",17.99,4140,"Juvenile Fiction","Nov",2020,0.00266666666666666,0.472
"Baby Goes to Market","Atinuke",8.99,4144,"Juvenile Fiction","Mar",2019,0.127097505668934,0.301271149485435
"Michelle Obama","Sarah Howden",4.99,4148,"Juvenile Nonfiction","Jan",2020,0,0
